participant_id,session_id,QEI,qc_determination
20866,2,0.7913568477906273,pass
20902,1,0.6579845175620761,pass
20902,2,0.8469952594474471,pass
20902,3,0.8300665081234977,pass
20916,1,0.4381405164250785,fail
20916,2,0.8233143125713571,pass
20916,3,0.8086064571731231,pass
20919,1,0.2609163362689247,fail
20923,1,7.940501317716686e-07,fail
20923,2,0.8117120677765504,pass
20934,1,0.004557856,fail
20936,2,0.7933730068006201,pass
20936,3,0.8178133622643994,pass
20953,1,0.1845439210293965,fail
20953,2,0.748807183,pass
20964,1,0.8085234267663002,pass
20966,1,0.1680243348028993,fail
20966,2,0.8583172949123984,pass
20966,3,0.8530417789286573,pass
20968,1,0.361887424,fail
20968,2,0.7159714428241788,pass
20968,3,0.7732696700885358,pass
20976,1,0.8430120761435852,pass
20976,2,0.8111115844231845,pass
20976,3,0.7993692203369174,pass
20983,1,0.2229396681707319,fail
20983,2,0.7709522577637983,pass
21023,1,0.8380089299641915,pass
21023,2,0.7926431446703714,pass
21035,1,0.00714959,fail
21035,2,0.834805368,pass
21035,3,0.8101597504622062,pass
21038,1,0.8254662091187982,pass
21038,2,0.8505946041263812,pass
21050,1,0.025621456,fail
21095,1,0.8612400985813584,pass
21104,1,0.8220459993866197,pass
21104,2,0.8255656643757605,pass
21112,1,0.055980666,fail
21112,2,0.6991364239400021,pass
21116,1,0.7915927081141424,pass
21118,1,0.8310784708498462,pass
21124,1,0.2359446400683904,fail
21131,1,0.058182503,fail
21139,2,0.8236887270713705,pass
21141,2,0.8229240737239575,pass
21146,1,0.8079581711713273,pass
21150,1,0.753600201,pass
21154,1,0.61060567,pass
21154,2,0.8139618013575076,pass
21161,3,0.8605637847160067,pass
21193,1,0.8440883767997883,pass
21193,2,0.8337123588087678,pass
21197,1,0.7988857209472062,pass
21224,1,0.7708124154381418,pass
21325,1,0.8292613970418247,pass
21325,2,0.8400792336027701,pass
21345,1,0.8034893258795314,pass
21432,1,0.8205711639868146,pass
21493,1,0.7929983859398871,pass
21493,2,0.809272726,pass
21514,1,0.8526193847404208,pass
21516,1,0.8442376691197191,pass
21539,1,0.8357302187758153,pass
21553,1,0.7842223087399178,pass
21553,2,0.8057600161842726,pass
21554,1,0.4784065645567015,fail
21560,2,0.4714501213878768,fail
21567,1,0.806317139,pass
21580,1,0.6732490516799964,pass
21580,2,0.7958670063582783,pass
21623,1,0.6698625862029248,pass
21623,2,0.8043949251411384,pass
21712,1,0.8732140480707324,pass
21712,2,0.8420752101446976,pass
