parcel	value	map	abs_value
Parcel_137	3.0748065	EF	3.0748065
Parcel_128	-3.0706153	EF	3.0706153
Parcel_069	-3.0488427	EF	3.0488427
Parcel_260	-3.0270984	EF	3.0270984
Parcel_117	-3.0229502	EF	3.0229502
Parcel_229	-2.9745498	EF	2.9745498
Parcel_097	-2.9577262	EF	2.9577262
Parcel_189	2.9454925	EF	2.9454925
Parcel_081	2.937881	EF	2.937881
Parcel_178	-2.9360983	EF	2.9360983
Parcel_267	-2.919586	EF	2.919586
Parcel_027	-2.9159987	EF	2.9159987
Parcel_021	-2.9100688	EF	2.9100688
Parcel_089	2.8865824	EF	2.8865824
Parcel_289	-2.8817987	EF	2.8817987
Parcel_377	-2.8805244	EF	2.8805244
Parcel_360	2.8784225	EF	2.8784225
Parcel_358	-2.8715332	EF	2.8715332
Parcel_253	-2.8247716	EF	2.8247716
Parcel_029	-2.8223674	EF	2.8223674
Parcel_383	-2.8153	EF	2.8153
Parcel_389	-2.7930043	EF	2.7930043
Parcel_200	-2.781955	EF	2.781955
Parcel_270	-2.779983	EF	2.779983
Parcel_275	2.7702053	EF	2.7702053
Parcel_205	-2.765178	EF	2.765178
Parcel_073	2.7539637	EF	2.7539637
Parcel_023	-2.7377584	EF	2.7377584
Parcel_047	-2.7341151	EF	2.7341151
Parcel_101	2.7301688	EF	2.7301688
Parcel_258	-2.6728685	EF	2.6728685
Parcel_334	2.6577935	EF	2.6577935
Parcel_004	-2.6418738	EF	2.6418738
Parcel_368	-2.6143095	EF	2.6143095
Parcel_068	-2.6114311	EF	2.6114311
Parcel_145	2.6088128	EF	2.6088128
Parcel_154	-2.6064076	EF	2.6064076
Parcel_002	-2.592548	EF	2.592548
Parcel_125	-2.5745351	EF	2.5745351
Parcel_166	-2.569818	EF	2.569818
Parcel_214	-2.560107	EF	2.560107
Parcel_364	-2.5318794	EF	2.5318794
Parcel_133	-2.5292497	EF	2.5292497
Parcel_185	2.4974444	EF	2.4974444
Parcel_010	-2.49716	EF	2.49716
Parcel_356	-2.4914124	EF	2.4914124
Parcel_220	-2.4594169	EF	2.4594169
Parcel_064	-2.4451334	EF	2.4451334
Parcel_202	-2.4427507	EF	2.4427507
Parcel_340	2.4128604	EF	2.4128604
Parcel_288	2.4008589	EF	2.4008589
Parcel_323	-2.390177	EF	2.390177
Parcel_203	-2.3824682	EF	2.3824682
Parcel_357	2.3748336	EF	2.3748336
Parcel_329	-2.353517	EF	2.353517
Parcel_212	-2.3490145	EF	2.3490145
Parcel_362	-2.3461077	EF	2.3461077
Parcel_346	2.3394556	EF	2.3394556
Parcel_080	2.3053608	EF	2.3053608
Parcel_371	-2.2991722	EF	2.2991722
Parcel_017	-2.289648	EF	2.289648
Parcel_088	2.278624	EF	2.278624
Parcel_139	2.2624426	EF	2.2624426
Parcel_396	-2.245098	EF	2.245098
Parcel_176	-2.2230687	EF	2.2230687
Parcel_065	-2.2136085	EF	2.2136085
Parcel_269	-2.212784	EF	2.212784
Parcel_076	-2.1823697	EF	2.1823697
Parcel_126	-2.169602	EF	2.169602
Parcel_022	-2.1278405	EF	2.1278405
Parcel_350	2.1118248	EF	2.1118248
Parcel_207	-2.101355	EF	2.101355
Parcel_003	-2.0968072	EF	2.0968072
Parcel_120	-2.0957088	EF	2.0957088
Parcel_352	2.0836904	EF	2.0836904
Parcel_384	-2.0444703	EF	2.0444703
