parcel	value	map	abs_value
Parcel_071	-1.9151672	PNC	1.9151672
Parcel_121	-1.8322766	PNC	1.8322766
Parcel_323	-1.8295894	PNC	1.8295894
Parcel_118	1.7286961	PNC	1.7286961
Parcel_303	-1.6657194	PNC	1.6657194
Parcel_364	1.6292431	PNC	1.6292431
Parcel_176	-1.5638534	PNC	1.5638534
Parcel_276	-1.5621331	PNC	1.5621331
Parcel_172	1.5239849	PNC	1.5239849
Parcel_012	1.489118	PNC	1.489118
Parcel_373	1.45932	PNC	1.45932
Parcel_272	-1.3596505	PNC	1.3596505
Parcel_116	-1.3500997	PNC	1.3500997
Parcel_286	1.3463919	PNC	1.3463919
Parcel_389	-1.2176961	PNC	1.2176961
Parcel_330	-1.1317152	PNC	1.1317152
Parcel_074	1.1227251	PNC	1.1227251
Parcel_377	-1.0519727	PNC	1.0519727
Parcel_400	1.007865	PNC	1.007865
Parcel_014	-0.92732066	PNC	0.92732066
Parcel_271	0.9235005	PNC	0.9235005
Parcel_158	-0.8621088	PNC	0.8621088
Parcel_113	0.86030495	PNC	0.86030495
Parcel_001	-0.8460612	PNC	0.8460612
Parcel_261	-0.8101283	PNC	0.8101283
Parcel_079	0.78792256	PNC	0.78792256
Parcel_006	0.73431295	PNC	0.73431295
Parcel_163	0.6542246	PNC	0.6542246
Parcel_069	-0.5917689	PNC	0.5917689
Parcel_008	0.57448107	PNC	0.57448107
Parcel_128	0.471484	PNC	0.471484
Parcel_376	-0.43678898	PNC	0.43678898
Parcel_384	-0.36754096	PNC	0.36754096
Parcel_213	0.34964913	PNC	0.34964913
Parcel_362	-0.33887032	PNC	0.33887032
Parcel_076	0.111851476	PNC	0.111851476
