Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-func_run-01_suffix-bold_task-rest__1	datatype-func_run-01_suffix-bold_task-rest	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	181	90	90	60	0.03	0.00051	181	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-02_suffix-bold_task-rest__1	datatype-func_run-02_suffix-bold_task-rest	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	168	90	90	60	0.03	0.00051	168	52	False	LAS+		func	6.0	60	383	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-01_suffix-bold_task-nback_acquisition-VARIANTObliquity__1	datatype-func_run-01_suffix-bold_task-nback_acquisition-VARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	23	90	90	60	0.03	0.00051	23	52	False	LAS+		func	6.0	60	522	False			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-01_suffix-bold_task-rest_acquisition-VARIANTObliquity__1	datatype-func_run-01_suffix-bold_task-rest_acquisition-VARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	23	90	90	60	0.03	0.00051	23	52	False	LAS+		func	6.0	60	522	False			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTObliquity__1	datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	22	90	90	60	0.03	0.00051	22	52	False	LAS+		func	6.0	60	383	False			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTNumVolumes__1	datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTNumVolumes	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	90	90	60	0.03	0.00051	8	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-03_suffix-bold_task-rest__1	datatype-func_run-03_suffix-bold_task-rest	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	90	90	60	0.03	0.00051	7	52	False	LAS+		func	6.0	60	383	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-01_suffix-bold_task-nback_acquisition-VARIANTNumVolumes__1	datatype-func_run-01_suffix-bold_task-nback_acquisition-VARIANTNumVolumes	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	521	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-01_suffix-bold_task-rest_acquisition-VARIANTNumVolumes__1	datatype-func_run-01_suffix-bold_task-rest_acquisition-VARIANTNumVolumes	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-01_suffix-bold_task-restfilm__1	datatype-func_run-01_suffix-bold_task-restfilm	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTNumVolumesObliquity__1	datatype-func_run-02_suffix-bold_task-rest_acquisition-VARIANTNumVolumesObliquity	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	522	False			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-03_suffix-bold_task-rest_acquisition-VARIANTNumVolumes__1	datatype-func_run-03_suffix-bold_task-rest_acquisition-VARIANTNumVolumes	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-func_run-03_suffix-bold_task-rest_acquisition-VARIANTObliquity__1	datatype-func_run-03_suffix-bold_task-rest_acquisition-VARIANTObliquity	1											1	90	90	60	0.03	0.00051	1	52	False	LAS+		func	6.0	60	383	False			1.0	j	0.8	0.045	False	2.4	2.4	2.4
				datatype-perf_run-01_suffix-asl__1	datatype-perf_run-01_suffix-asl	1	PCASL	True	2.0	0.0		0.0		0.0	0.0	0.0	113	64	64	32	0.01		113	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.29842		False	3.75	3.75	3.75
				datatype-perf_run-01_suffix-m0scan__1	datatype-perf_run-01_suffix-m0scan	1				0.0		0.0		0.0	0.0	0.0	113	64	64	32	0.01		113	90	False	LAS+		perf		0	2	False			1.0		4.0		True	3.75	3.75	3.75
				datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__1	datatype-perf_run-01_suffix-asl_acquisition-VARIANTEffectiveEchoSpacingRepetitionTimeTotalReadoutTime	1	PCASL	True	2.0	0.0		0.0		0.0	0.0	0.0	66	64	64	32	0.01		75	90	False	LAS+	Separate	perf		0	80	False	unbalanced		1.0		4.29845		False	3.75	3.75	3.75
