participant_id,session_id,lh_euler,rh_euler,lh_holes,rh_holes,cortex_numvert_lh,cortex_pialsurfarea_lh,cortex_meanthickness_lh,cortex_numvert_rh,cortex_pialsurfarea_rh,cortex_meanthickness_rh,brainseg_brainsegvol,brainsegnotvent_brainsegvolnotvent,ventriclechoroidvol,lhcortex_lhcortexvol,rhcortex_rhcortexvol,cortex_cortexvol,lhcerebralwhitematter_lhcerebralwhitemattervol,rhcerebralwhitematter_rhcerebralwhitemattervol,cerebralwhitematter_cerebralwhitemattervol,subcortgray_subcortgrayvol,totalgray_totalgrayvol,supratentorial_supratentorialvol,supratentorialnotvent_supratentorialvolnotvent,mask_maskvol,lhsurfaceholes,rhsurfaceholes,surfaceholes,estimatedtotalintracranialvol_etiv
sub-21104,ses-1,2.0,-4.0,0.0,3.0,118832.0,86090.4,2.64715,119286.0,87816.7,2.64473,1044984.0,1030232.0,11808.0,220038.842661,223085.451925,443124.294586,218905.5,217879.5,436785.0,51263.0,573719.294586,945869.0,931117.0,1285708.0,0.0,3.0,3.0,993812.416302
sub-21104,ses-2,-8.0,-2.0,5.0,2.0,118322.0,85498.8,2.62812,119130.0,86273.4,2.61319,1042125.0,1027579.0,11675.0,217383.736348,217588.91882,434972.655168,222115.5,219078.5,441194.0,51880.0,566325.655168,942370.0,927824.0,1274447.0,5.0,2.0,7.0,971917.43922
sub-21112,ses-1,-6.0,-2.0,4.0,2.0,125941.0,95470.2,2.70644,127818.0,94774.2,2.69722,1119135.0,1107773.0,8458.0,247039.679617,245992.100804,493031.780421,201074.5,203621.5,404696.0,59485.0,676357.780421,968401.0,957039.0,1385192.0,4.0,2.0,6.0,1492085.2041
sub-21112,ses-2,-4.0,0.0,3.0,1.0,127549.0,95188.0,2.60678,128996.0,94449.1,2.63577,1131921.0,1120102.0,8790.0,237886.457489,239663.575211,477550.0327,212569.5,215196.5,427766.0,61823.0,663873.0327,978767.0,966948.0,1415283.0,3.0,1.0,4.0,1382949.934516
sub-21116,ses-1,-10.0,-6.0,6.0,4.0,119294.0,87542.1,2.77416,118843.0,88160.4,2.72792,1094566.0,1076388.0,14655.0,233376.240646,230689.685401,464065.926046,207087.5,207707.5,414795.0,60930.0,635001.926046,958154.0,939976.0,1362890.0,6.0,4.0,10.0,1085586.249574
sub-21118,ses-1,-18.0,-12.0,10.0,7.0,128305.0,96245.2,2.9009,128399.0,96679.7,2.88452,1160404.0,1151753.0,5695.0,268027.974776,266475.126549,534503.101325,203824.5,203708.5,407533.0,58256.0,715916.101325,1009294.0,1000643.0,1421120.0,10.0,7.0,17.0,1493832.948396
sub-21118,ses-2,-6.0,-6.0,4.0,4.0,128904.0,95710.0,2.85048,128348.0,95502.2,2.8388,1158674.0,1150271.0,5679.0,261907.562469,259850.595736,521758.158205,208863.0,208450.0,417313.0,58611.0,704356.158205,1006319.0,997916.0,1429865.0,4.0,4.0,8.0,1416123.087574
sub-21124,ses-1,-8.0,-2.0,5.0,2.0,141683.0,103233.0,2.84772,144749.0,106589.0,2.78651,1333135.0,1313179.0,16507.0,284365.032698,285598.290091,569963.322789,266452.0,266230.0,532682.0,63819.0,751037.322789,1186581.0,1166625.0,1624264.0,5.0,2.0,7.0,1566859.005819
sub-21131,ses-1,-12.0,-2.0,7.0,2.0,126696.0,93333.5,2.94368,129295.0,95835.4,2.88736,1200148.0,1187297.0,9433.0,264700.710087,265739.574049,530440.284136,228510.5,231118.5,459629.0,62117.0,701061.284136,1065262.0,1052411.0,1462517.0,7.0,2.0,9.0,1505915.56835
sub-21139,ses-1,-16.0,-12.0,9.0,7.0,128544.0,97710.2,3.01588,129382.0,99349.3,2.97034,1241619.0,1227918.0,10871.0,284604.67719,283603.239094,568207.916284,223372.0,222798.0,446170.0,60894.0,753787.916284,1089063.0,1075362.0,1523105.0,9.0,7.0,16.0,1611252.768854
sub-21139,ses-2,-12.0,-18.0,7.0,10.0,126111.0,96785.5,2.94026,130089.0,98007.9,2.90911,1235500.0,1221520.0,11116.0,274640.572566,275608.640374,550249.21294,225904.0,228040.0,453944.0,62333.0,740256.21294,1080602.0,1066622.0,1530324.0,7.0,10.0,17.0,1617558.826569
sub-21141,ses-1,-6.0,-14.0,4.0,8.0,144538.0,111156.0,2.71931,147162.0,110717.0,2.71875,1262913.0,1242470.0,17510.0,287872.570449,288901.340971,576773.91142,221864.5,223931.5,445796.0,59367.0,768775.91142,1102557.0,1082114.0,1560548.0,4.0,8.0,12.0,1648471.787517
sub-21141,ses-2,-8.0,-10.0,5.0,6.0,150392.0,113385.0,2.72055,152906.0,114030.0,2.6982,1291675.0,1271814.0,17049.0,294238.874846,294295.954763,588534.829609,231314.5,233013.5,464328.0,57524.0,780442.829609,1130261.0,1110400.0,1577734.0,5.0,6.0,11.0,1594552.063539
sub-21146,ses-1,-20.0,-18.0,11.0,10.0,132007.0,100135.0,2.72621,133542.0,102194.0,2.70857,1134514.0,1120212.0,9790.0,261574.559358,263804.833042,525379.392399,196229.5,194905.5,391135.0,59747.0,704077.392399,990570.0,976268.0,1413980.0,11.0,10.0,21.0,1488382.725367
sub-21150,ses-1,-8.0,-16.0,5.0,9.0,130904.0,96241.2,2.67315,130352.0,95408.5,2.61258,1067834.0,1058755.0,6924.0,246940.335814,238802.321519,485742.657333,199675.0,197262.0,396937.0,57436.0,638532.657333,948787.0,939708.0,1240466.0,5.0,9.0,14.0,1320164.47763
sub-21154,ses-1,-12.0,-6.0,7.0,4.0,122285.0,94709.4,2.92974,123521.0,96220.0,2.89974,1112527.0,1099037.0,9793.0,266573.74637,267442.036264,534015.782634,190849.5,191386.5,382236.0,59391.0,694604.782634,989737.0,976247.0,1372073.0,7.0,4.0,11.0,1440081.338092
sub-21154,ses-2,-8.0,-2.0,5.0,2.0,125105.0,94780.2,2.87889,125525.0,95852.3,2.86159,1132039.0,1116115.0,11977.0,263214.85524,263743.117843,526957.973083,201717.0,201565.0,403282.0,59686.0,690181.973083,1005923.0,989999.0,1409626.0,5.0,2.0,7.0,1489111.709178
sub-21161,ses-1,-6.0,-8.0,4.0,5.0,118695.0,90457.4,2.64739,116746.0,89999.2,2.67999,1004127.0,994551.0,6397.0,227894.935185,229258.093794,457153.028979,180971.0,177590.0,358561.0,55511.0,615508.028979,880849.0,871273.0,1249582.0,4.0,5.0,9.0,1153545.277003
sub-21161,ses-2,-4.0,-2.0,3.0,2.0,120410.0,91159.7,2.67886,118892.0,90637.3,2.68578,1014345.0,1005499.0,5725.0,232448.08276,230823.18763,463271.270391,181291.5,179966.5,361258.0,55660.0,623244.270391,888933.0,880087.0,1258316.0,3.0,2.0,5.0,1228516.709492
sub-21161,ses-3,2.0,2.0,0.0,0.0,121518.0,91120.7,2.66227,119376.0,89497.9,2.6935,1028023.0,1018936.0,5923.0,231756.981843,230504.839248,462261.821091,186522.0,186067.0,372589.0,57189.0,624996.821091,901098.0,892011.0,1268737.0,0.0,0.0,0.0,1247260.111113
sub-21193,ses-1,-10.0,-16.0,6.0,9.0,111519.0,90660.0,2.89214,111907.0,89610.1,2.89274,1038666.0,1031176.0,5043.0,245630.075342,245139.461981,490769.537324,179486.0,179516.0,359002.0,60395.0,649249.537324,917781.0,910291.0,1289995.0,6.0,9.0,15.0,1308310.326594
sub-21193,ses-2,-20.0,-14.0,11.0,8.0,110619.0,88341.6,2.84966,110934.0,87894.7,2.86584,1026735.0,1019014.0,5191.0,237525.253282,238518.897023,476044.150304,182420.5,182568.5,364989.0,60049.0,631596.150304,908476.0,900755.0,1268989.0,11.0,8.0,19.0,1229199.59112
sub-21197,ses-1,-4.0,-4.0,3.0,3.0,142707.0,105291.0,2.8433,140790.0,104797.0,2.82459,1276002.0,1261760.0,11994.0,289768.465663,286788.478081,576556.943744,247243.0,247069.0,494312.0,64761.0,744968.943744,1150443.0,1136201.0,1537210.0,3.0,3.0,6.0,1484522.028189
sub-21224,ses-1,-14.0,0.0,8.0,1.0,159512.0,117503.0,2.65921,159862.0,118017.0,2.62566,1338684.0,1322314.0,12284.0,300592.008624,298111.677299,598703.685924,255146.0,254319.0,509465.0,67164.0,784273.685924,1191275.0,1174905.0,1636092.0,8.0,1.0,9.0,1719871.882997
sub-21325,ses-1,-4.0,-10.0,3.0,6.0,155410.0,113933.0,2.7298,154604.0,112921.0,2.73805,1288036.0,1276953.0,7798.0,298341.745099,298115.522495,596457.267594,237880.5,237528.5,475409.0,67061.0,774741.267594,1149596.0,1138513.0,1470256.0,3.0,6.0,9.0,1651955.04742
sub-21325,ses-2,-4.0,-2.0,3.0,2.0,156383.0,118560.0,2.72464,157979.0,116347.0,2.7593,1328262.0,1315060.0,9311.0,307440.124589,308491.187259,615931.311848,244314.0,244645.0,488959.0,67270.0,798160.311848,1185560.0,1172358.0,1629805.0,3.0,2.0,5.0,1625212.24771
sub-21345,ses-1,0.0,-6.0,1.0,4.0,111042.0,85432.9,2.7455,111938.0,86793.5,2.70301,1002054.0,986840.0,12732.0,224597.039412,223776.806297,448373.84571,183972.5,180640.5,364613.0,51419.0,600742.84571,879604.0,864390.0,1246036.0,1.0,4.0,5.0,1204638.896977
sub-21432,ses-1,-14.0,-12.0,8.0,7.0,124716.0,97344.1,2.80026,124000.0,96133.3,2.77619,1138024.0,1126767.0,8577.0,260806.408835,255825.668835,516632.077669,199694.0,197962.0,397656.0,63204.0,701240.077669,989070.0,977813.0,1412705.0,8.0,7.0,15.0,1295517.307334
sub-21493,ses-1,-8.0,-10.0,5.0,6.0,115016.0,86695.9,2.64134,116687.0,88197.9,2.59243,1026375.0,1011306.0,11724.0,219486.959462,218933.67754,438420.637003,189119.5,191693.5,380813.0,55940.0,606325.637003,890059.0,874990.0,1279907.0,5.0,6.0,11.0,1141653.974852
sub-21493,ses-2,-16.0,-22.0,9.0,12.0,108661.0,83953.7,2.62293,108959.0,85018.7,2.54466,1005827.0,990362.0,11996.0,210987.36711,207407.837781,418395.204891,188896.5,189431.5,378328.0,57158.0,588512.204891,869285.0,853820.0,1273003.0,9.0,12.0,21.0,1363481.314211
sub-21514,ses-1,-16.0,-8.0,9.0,5.0,122424.0,91517.8,2.72126,124226.0,91922.0,2.73613,1114188.0,1096623.0,14658.0,239404.19669,242289.26294,481693.45963,207436.5,210331.5,417768.0,56714.0,650283.45963,973630.0,956065.0,1364731.0,9.0,5.0,14.0,1399445.628383
